13/04/2024 5:32:13Sup, logger test here
24/04/13T05:43:05.914186	[DEBUG]	
24/04/13T05:43:20.217977	[DEBUG]	Sup, logger test here
24/04/13T05:46:25.499561	[DEBUG]	LoadInitConfigE:\CSharp\StoreManagementSystem\Home.cs18Sup, logger test here
24/04/13T05:50:55.372389	[DEBUG]	\Home.cs	18	LoadInitConfig	Sup, logger test here
24/04/13T05:51:32.478798	[DEBUG]	Home.cs: -> 18()	LoadInitConfig	Sup, logger test here
24/04/13T05:52:00.174972	[DEBUG]	Home.cs:18 ->	LoadInitConfig()	Sup, logger test here
24/04/13T05:52:18.052562	[DEBUG]	Home.cs:18 ->	LoadInitConfig()		Sup, logger test here
24/04/13T05:52:28.098891	[DEBUG]	Home.cs:18 ->	LoadInitConfig()			Sup, logger test here
24/04/13T05:57:49.012843	[DEBUG]	Home.cs:18 ->	LoadInitConfig()			Sup, logger test here
24/04/13T06:07:44.821291	[DEBUG]		Home.cs:19 ->	LoadInitConfig()			Sup, logger test here
24/04/13T06:07:44.823774	[INFO]		Home.cs:20 ->	LoadInitConfig()			Sup, logger test here
24/04/13T06:07:44.823926	[WARNING]		Home.cs:21 ->	LoadInitConfig()			Sup, logger test here
24/04/13T06:07:44.824115	[ERROR]		Home.cs:22 ->	LoadInitConfig()			Sup, logger test here
24/04/13T06:08:17.995101	[DEBUG]			Home.cs:19 ->	LoadInitConfig()			Sup, logger test here
24/04/13T06:08:18.002926	[INFO]			Home.cs:20 ->	LoadInitConfig()			Sup, logger test here
24/04/13T06:08:18.003043	[WARNING]			Home.cs:21 ->	LoadInitConfig()			Sup, logger test here
24/04/13T06:08:18.003139	[ERROR]			Home.cs:22 ->	LoadInitConfig()			Sup, logger test here
24/04/13T06:08:40.201005	[DEBUG]	Home.cs:19 ->	LoadInitConfig()			Sup, logger test here
24/04/13T06:08:40.208606	[INFO]	Home.cs:20 ->	LoadInitConfig()			Sup, logger test here
24/04/13T06:08:40.208749	[WARNING]	Home.cs:21 ->	LoadInitConfig()			Sup, logger test here
24/04/13T06:08:40.208849	[ERROR]	Home.cs:22 ->	LoadInitConfig()			Sup, logger test here
